timestamp,model_id,prompt_hash,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,latency_ms,extraction_run_id,agent_id,success
2026-02-26T13:30:58.483819+00:00,claude-sonnet-4-20250514,fd83081499a15487,13140,447,13587,0.046125,6629.9,,,True
2026-02-26T13:31:02.209153+00:00,claude-sonnet-4-20250514,72adbf0f0310293a,13142,176,13318,0.042066,3724.4,,,True
2026-02-26T13:31:05.580152+00:00,claude-sonnet-4-20250514,851d033d79d73894,4089,44,4133,0.012927,3362.7,,,True
2026-02-26T13:31:17.170439+00:00,claude-sonnet-4-20250514,220c8068e5fd0153,11758,749,12507,0.046509,11588.6,,,True
2026-02-26T13:37:12.111035+00:00,claude-sonnet-4-20250514,fd83081499a15487,13140,447,13587,0.046125,6702.3,,,True
2026-02-26T13:37:15.661012+00:00,claude-sonnet-4-20250514,72adbf0f0310293a,13142,176,13318,0.042066,3549.4,,,True
2026-02-26T13:37:17.118430+00:00,claude-sonnet-4-20250514,851d033d79d73894,4089,44,4133,0.012927,1449.2,,,True
2026-02-26T13:37:54.486167+00:00,claude-sonnet-4-20250514,fd83081499a15487,13140,447,13587,0.046125,7025.7,,,True
2026-02-26T13:37:58.641639+00:00,claude-sonnet-4-20250514,72adbf0f0310293a,13142,176,13318,0.042066,4154.8,,,True
2026-02-26T13:38:00.270216+00:00,claude-sonnet-4-20250514,851d033d79d73894,4089,44,4133,0.012927,1617.0,,,True
2026-02-26T13:41:53.268957+00:00,claude-sonnet-4-20250514,e44c7a9aefec8da0,5719,92,5811,0.018537,4081.6,,,True
2026-02-26T13:41:59.351933+00:00,claude-sonnet-4-20250514,fd83081499a15487,13140,447,13587,0.046125,6063.7,,,True
2026-02-26T13:42:02.865526+00:00,claude-sonnet-4-20250514,72adbf0f0310293a,13142,176,13318,0.042066,3512.6,,,True
2026-02-26T13:42:06.009850+00:00,claude-sonnet-4-20250514,851d033d79d73894,4089,44,4133,0.012927,3123.5,,,True
2026-02-26T13:42:08.734678+00:00,claude-sonnet-4-20250514,b888e55fff81c639,1847,198,2045,0.008511,2700.8,,,True
2026-02-26T13:42:11.128874+00:00,claude-sonnet-4-20250514,169638e418d92bce,4849,76,4925,0.015687,2392.9,,,True
2026-02-26T13:42:14.655169+00:00,claude-sonnet-4-20250514,5ae75ee74efb2a5a,9435,122,9557,0.030135,3519.0,,,True
2026-02-26T13:42:21.600840+00:00,claude-sonnet-4-20250514,f2f8a25b4b9748f5,8990,497,9487,0.034425,6944.2,,,True
2026-02-26T13:42:50.291156+00:00,claude-sonnet-4-20250514,5701be8ea8a81914,11833,2525,14358,0.073374,28688.5,,,True
2026-02-26T13:42:53.099109+00:00,claude-sonnet-4-20250514,b6004312d364a29c,9563,123,9686,0.030534,2805.9,,,True
2026-02-26T13:43:02.103117+00:00,claude-sonnet-4-20250514,5c96801b9c9462d9,7684,519,8203,0.030837,9002.7,,,True
2026-02-26T13:43:05.679771+00:00,claude-sonnet-4-20250514,a761e0bf7c78c388,9566,201,9767,0.031713,3573.5,,,True
2026-02-26T13:43:13.402002+00:00,claude-sonnet-4-20250514,f59ba5c6fe7e7531,3611,467,4078,0.017838,7720.8,,,True
2026-02-26T13:43:29.547170+00:00,claude-sonnet-4-20250514,7763d2a1593d7c01,10067,1239,11306,0.048786,16144.0,,,True
2026-02-26T13:46:35.271016+00:00,claude-sonnet-4-20250514,e44c7a9aefec8da0,5719,92,5811,0.018537,3788.8,,,True
2026-02-26T13:46:41.444745+00:00,claude-sonnet-4-20250514,fd83081499a15487,13140,447,13587,0.046125,6150.2,,,True
2026-02-26T13:46:45.748447+00:00,claude-sonnet-4-20250514,72adbf0f0310293a,13142,176,13318,0.042066,4303.0,,,True
2026-02-26T13:46:47.276239+00:00,claude-sonnet-4-20250514,851d033d79d73894,4089,44,4133,0.012927,1508.9,,,True
2026-02-26T13:46:50.367446+00:00,claude-sonnet-4-20250514,b888e55fff81c639,1847,198,2045,0.008511,3061.2,,,True
2026-02-26T13:46:52.599611+00:00,claude-sonnet-4-20250514,169638e418d92bce,4849,76,4925,0.015687,2230.9,,,True
